comment,date,author,like_count,reply_count,sentiment
"Buy Stepper Motor :https://s.click.aliexpress.com/e/_DeafOsZ

Get Free PCB on First Order: https://www.nextpcb.com/?code=thewrench",2023-02-02 07:34:48+00:00,The Wrench,86,18,0
Make a land line phone using gsm module at low price under 1000,2023-05-15 12:20:54+00:00,Mahesh Ambaliya,0,0,0
"hello, my problem is spinning only at the beginning and after 10 seconds it spins for 3 seconds ...test works",2023-05-14 07:43:18+00:00,Сергей Петора,0,0,0
"Wow,, nyc idea.. is it available on sale' 👌👍",2023-05-11 03:46:21+00:00,Mahadev Hasaraddi,0,0,0
Sexo,2023-05-10 20:24:33+00:00,Jeremías Barros,0,0,0
Link stl dowload where it is man 😮,2023-05-07 12:55:25+00:00,özcan solak,0,0,0
👍🏻,2023-05-04 21:54:45+00:00,Tejas Kesekar,0,0,0
O wao,2023-05-04 01:58:34+00:00,Kukil Kashyap Borgohain,0,0,0
I would try to hide the black handle under the minute bar... Otherwise it is mind blowing,2023-04-30 03:20:06+00:00,INFAMOUS MYSTIC,0,0,0
Найс!,2023-04-29 12:40:42+00:00,Rus K,0,0,0
Kamal hai bhai,2023-04-29 06:40:11+00:00,Mr. Technical Verma,0,0,0
Genial,2023-04-23 10:31:17+00:00,Roman Solotoy,0,0,0
Какую функцию шнек выполняет?,2023-04-10 06:07:55+00:00,Smiler SP,0,1,0
Genious,2023-04-09 18:27:41+00:00,bar10dr bar10dr,0,0,0
"Where is the zip file?
Sorry for sounding stoopid 😢",2023-04-09 17:39:56+00:00,supaflydude666,0,0,0
✌️👍😃,2023-04-09 09:04:57+00:00,Acharya Education,0,0,0
시계를 신기하게. 만드시네요,2023-04-06 04:38:18+00:00,믿음소망사랑,0,0,0
Probably need an prefect edit at 5:19 😅,2023-04-05 22:45:11+00:00,Maple7rees-,0,0,0
creativity👏👏,2023-04-05 18:56:56+00:00,Adham Tohamy,0,0,0
Classic.... 👍.,2023-04-05 11:20:55+00:00,Bhujyam,0,0,0
How is the hour stick moving?,2023-04-04 23:12:38+00:00,AshhCrackk,0,0,0
