title,content,date,variant,images,verified,author,rating,product,url
USB c stopped working and return timeline is over so I’m stuck with it,The Amazon basics wires are good but this chargers usb c stopped working and the return window has passed so I can’t return it,30 Dec 2022,Style name: 18W - Dual Port / White,,Yes,A man,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
nice,nice,14 Nov 2022,Style name: 18W - Dual Port / White,,Yes,sumit,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
Good Product,Good quality product.,27 Oct 2022,Style name: 18W - Dual Port / White,,Yes,Aman,4.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
Getting heat,It’s getting heat while charging and also making my iPhone and iWatch hot during charging.,09 Oct 2022,Style name: 18W - Dual Port / White,,Yes,Jiten,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
Meh. Okay okay charger brick,"First of all, the type C port was not directly in line, I had to manually straighten it out. It can output 20W, but not simultaneously in both the ports. Hope this helps",13 Jul 2022,Style name: 18W - Dual Port / White,,Yes,Ajay,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
Average usage product,Writing review after 1 month of usagr Only one port was working ( c port was not working),24 Feb 2023,Style name: 18W - Dual Port / White,"https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71IyKK9nuBL._SY88.jpg
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71J++vrNlwL._SY88.jpg",Yes,Vishnupriya Karnati,2.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
Using for a iphone and android,Using for a iphone and android,16 Mar 2023,Style name: 18W - Dual Port / White,,Yes,M Dasarathy,5.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
Problm solved,Note 20 ultra charging problm has been solved,23 Jan 2023,Style name: 18W - Dual Port / White,,Yes,Deepak,5.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
The connecting pins are short,The connecting pins to the socket are short and hence do not make a perfect connection to all types.,23 Feb 2023,Style name: 18W - Dual Port / White,,Yes,Satish Gupta,2.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
Not a 18 W charger,Either wrong description or wrong delivery. It is a 10W charger and NOT a 18 W charger,21 Jul 2022,Style name: 18W - Dual Port / White,,Yes,ACS,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=0
USB c stopped working and return timeline is over so I’m stuck with it,The Amazon basics wires are good but this chargers usb c stopped working and the return window has passed so I can’t return it,30 Dec 2022,Style name: 18W - Dual Port / White,,Yes,A man,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=1
nice,nice,14 Nov 2022,Style name: 18W - Dual Port / White,,Yes,sumit,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=1
Good Product,Good quality product.,27 Oct 2022,Style name: 18W - Dual Port / White,,Yes,Aman,4.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=1
Getting heat,It’s getting heat while charging and also making my iPhone and iWatch hot during charging.,09 Oct 2022,Style name: 18W - Dual Port / White,,Yes,Jiten,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&pageNumber=1
